iter	Passed	Remaining
0	1	108
1	2	121
2	3	111
3	4	101
4	5	101
5	6	104
6	7	103
7	8	99
8	9	96
9	10	94
10	11	92
11	12	91
12	13	90
13	14	88
14	15	86
15	16	85
16	17	85
17	18	84
18	21	90
19	22	89
20	23	87
21	24	85
22	25	83
23	26	82
24	27	82
25	28	80
26	29	79
27	30	77
28	31	76
29	32	75
30	33	74
31	34	73
32	35	71
33	36	70
34	37	69
35	38	67
36	39	66
37	39	64
38	40	63
39	41	62
40	42	60
41	42	58
42	43	58
43	44	57
44	45	55
45	46	54
46	48	54
47	49	53
48	50	52
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	74	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	85	12
87	86	11
88	87	10
89	88	9
90	89	8
91	90	7
92	92	6
93	93	5
94	94	4
95	95	3
96	95	2
97	96	1
98	97	0
99	98	0
