iter	Passed	Remaining
0	140	140114
1	140	70338
2	141	47031
3	142	35386
4	142	28401
5	143	23737
6	143	20416
7	144	17925
8	145	16010
9	146	14459
10	146	13185
11	147	12124
12	148	11262
13	149	10506
14	149	9832
15	150	9245
16	150	8725
17	151	8262
18	152	7849
19	152	7486
20	153	7149
21	153	6843
22	154	6563
23	155	6310
24	155	6074
25	156	5861
26	156	5657
27	157	5474
28	158	5298
29	158	5134
30	159	4981
31	159	4837
32	160	4707
33	162	4630
34	163	4517
35	164	4407
36	165	4300
37	165	4198
38	166	4103
39	167	4012
40	167	3924
41	168	3843
42	169	3766
43	169	3691
44	170	3618
45	171	3548
46	171	3481
47	172	3417
48	172	3356
49	173	3297
50	174	3241
51	174	3187
52	176	3159
53	177	3110
54	178	3060
55	178	3013
56	179	2967
57	179	2922
58	180	2879
59	181	2837
60	181	2798
61	182	2759
62	183	2722
63	183	2685
64	184	2650
65	184	2615
66	185	2581
67	186	2549
68	186	2518
69	187	2487
70	187	2457
71	188	2428
72	189	2400
73	189	2372
74	190	2346
75	191	2322
76	191	2299
77	192	2274
78	192	2249
79	193	2225
80	194	2201
81	194	2178
82	194	2152
83	195	2131
84	196	2110
85	196	2089
86	197	2068
87	197	2048
88	198	2028
89	198	2009
90	199	1991
91	199	1972
92	200	1954
93	200	1936
94	201	1919
95	202	1902
96	202	1886
97	203	1869
98	203	1854
99	204	1840
100	205	1827
101	205	1813
102	206	1799
103	207	1784
104	207	1771
105	208	1757
106	208	1743
107	209	1729
108	210	1716
109	210	1703
110	211	1690
111	211	1678
112	212	1665
113	212	1653
114	213	1641
115	213	1630
116	215	1622
117	215	1611
118	216	1600
119	216	1589
120	217	1578
121	217	1567
122	218	1556
123	219	1547
124	219	1539
125	220	1532
126	221	1523
127	222	1513
128	222	1504
129	223	1494
130	223	1484
131	224	1475
132	224	1466
133	225	1457
134	226	1448
135	226	1439
136	227	1430
137	227	1422
138	228	1413
139	228	1405
140	229	1396
141	229	1387
142	230	1379
143	230	1371
144	231	1363
145	231	1355
146	232	1348
147	232	1340
148	233	1333
149	234	1326
150	235	1321
151	235	1316
152	236	1309
153	237	1302
154	237	1295
155	238	1289
156	238	1282
157	239	1275
158	239	1269
159	240	1262
160	240	1255
161	241	1248
162	241	1242
163	242	1237
164	243	1231
165	243	1225
166	244	1219
167	244	1213
168	245	1207
169	246	1201
170	246	1196
171	247	1190
172	247	1184
173	248	1179
174	249	1173
175	250	1170
176	250	1166
177	251	1160
178	251	1155
179	252	1150
180	253	1145
181	253	1139
182	254	1134
183	254	1129
184	255	1124
185	255	1119
186	256	1114
187	256	1109
188	257	1104
189	258	1100
190	258	1095
191	259	1090
192	259	1086
193	260	1081
194	260	1076
195	261	1072
196	261	1067
197	262	1063
198	263	1059
199	263	1054
200	264	1051
201	265	1048
202	266	1044
203	266	1040
204	267	1036
205	267	1032
206	268	1027
207	268	1023
208	269	1019
209	269	1015
210	270	1011
211	271	1007
212	271	1003
213	272	999
214	272	995
215	273	991
216	273	988
217	274	984
218	274	980
219	275	977
220	276	973
221	276	969
222	277	966
223	277	963
224	278	959
225	279	957
226	280	954
227	280	950
228	281	947
229	281	943
230	282	940
231	283	937
232	283	933
233	284	930
234	284	927
235	285	923
236	285	920
237	286	916
238	286	913
239	287	910
240	288	907
241	288	903
242	289	900
243	289	897
244	290	894
245	290	891
246	291	888
247	291	885
248	292	881
249	293	880
250	295	880
251	295	877
252	296	875
253	296	872
254	297	869
255	298	866
256	298	863
257	299	860
258	299	857
259	300	854
260	300	851
261	301	848
262	301	846
263	302	843
264	302	840
265	303	837
266	304	834
267	304	832
268	305	829
269	305	826
270	306	824
271	306	821
272	307	818
273	307	815
274	309	814
275	309	812
276	310	810
277	311	808
278	311	805
279	312	803
280	312	800
281	313	798
282	313	795
283	314	792
284	315	790
285	315	787
286	316	785
287	316	782
288	317	780
289	317	778
290	318	775
291	318	773
292	319	770
293	320	768
294	320	766
295	321	763
296	321	761
297	322	759
298	322	757
299	323	755
300	324	753
301	325	751
302	325	749
303	327	750
304	328	748
305	329	746
306	329	744
307	330	741
308	330	739
309	331	737
310	331	735
311	332	732
312	332	730
313	333	728
314	334	726
315	334	724
316	335	721
317	335	719
318	336	717
319	336	715
320	337	713
321	338	711
322	340	713
323	341	711
324	341	709
325	342	708
326	343	706
327	343	704
328	344	702
329	344	700
330	345	698
331	345	696
332	346	694
333	347	692
334	347	690
335	348	688
336	348	686
337	349	684
338	349	682
339	350	680
340	350	678
341	351	676
342	352	674
343	352	672
344	353	671
345	354	670
346	355	668
347	355	666
348	356	664
349	356	662
350	357	660
351	357	658
352	358	657
353	359	655
354	359	653
355	360	651
356	360	649
357	361	648
358	361	646
359	362	644
360	363	642
361	363	640
362	364	638
363	364	637
364	365	635
365	365	633
366	366	631
367	366	630
368	367	628
369	368	627
370	369	626
371	370	624
372	370	623
373	371	621
374	371	619
375	372	618
376	372	616
377	373	614
378	374	612
379	374	611
380	375	609
381	375	607
382	376	606
383	376	604
384	377	602
385	377	601
386	378	599
387	378	597
388	379	595
389	380	594
390	380	592
391	381	591
392	382	590
393	384	590
394	384	589
395	385	587
396	386	586
397	386	585
398	387	583
399	388	582
400	388	580
401	389	579
402	390	578
403	391	577
404	391	575
405	392	574
406	393	572
407	393	571
408	394	569
409	395	568
410	395	567
411	396	565
412	396	564
413	397	562
414	398	561
415	399	560
416	399	558
417	400	557
418	400	555
419	401	554
420	402	552
421	402	551
422	403	549
423	403	548
424	404	546
425	404	545
426	405	543
427	405	542
428	406	540
429	406	539
430	407	537
431	407	536
432	408	534
433	409	533
434	409	532
435	410	530
436	410	529
437	411	527
438	411	526
439	412	525
440	413	524
441	414	522
442	414	521
443	415	519
444	415	518
445	416	516
446	416	515
447	417	514
448	417	512
449	418	511
450	418	510
451	419	508
452	420	507
453	420	505
454	421	504
455	421	503
456	422	501
457	422	500
458	423	498
459	423	497
460	424	496
461	424	494
462	425	493
463	426	492
464	426	491
465	428	490
466	428	489
467	429	488
468	429	486
469	430	485
470	431	484
471	431	482
472	432	481
473	432	480
474	433	478
475	433	477
476	434	476
477	434	474
478	435	473
479	436	472
480	436	471
481	437	469
482	437	468
483	438	467
484	438	465
485	439	464
486	439	463
487	440	462
488	441	461
489	442	460
490	442	459
491	443	458
492	444	456
493	444	455
494	445	454
495	446	453
496	446	452
497	447	450
498	447	449
499	448	448
500	448	447
501	449	445
502	449	444
503	450	443
504	451	442
505	451	440
506	452	439
507	452	438
508	453	437
509	453	436
510	454	434
511	454	433
512	455	432
513	456	431
514	457	430
515	458	430
516	459	428
517	459	427
518	460	426
519	460	425
520	461	424
521	462	423
522	462	421
523	463	420
524	463	419
525	464	418
526	464	417
527	465	415
528	465	414
529	466	413
530	466	412
531	467	411
532	467	409
533	468	408
534	468	407
535	469	406
536	470	405
537	470	404
538	471	403
539	472	402
540	473	401
541	473	400
542	474	399
543	474	398
544	475	396
545	475	395
546	476	394
547	477	393
548	477	392
549	478	391
550	478	390
551	479	389
552	479	387
553	480	386
554	480	385
555	481	384
556	481	383
557	482	382
558	482	381
559	483	379
560	484	378
561	484	377
562	485	376
563	485	375
564	486	374
565	488	374
566	488	373
567	489	372
568	489	370
569	490	369
570	490	368
571	491	367
572	491	366
573	492	365
574	493	364
575	493	363
576	494	362
577	494	361
578	495	360
579	495	359
580	496	357
581	496	356
582	497	355
583	498	354
584	498	353
585	499	352
586	499	351
587	500	350
588	501	349
589	502	349
590	503	348
591	503	347
592	504	346
593	505	345
594	505	344
595	506	343
596	507	342
597	507	341
598	508	340
599	508	339
600	509	338
601	510	337
602	510	336
603	511	335
604	511	334
605	512	333
606	513	332
607	513	331
608	514	330
609	515	329
610	515	328
611	516	327
612	517	326
613	517	325
614	518	324
615	518	323
616	519	322
617	519	321
618	520	320
619	521	319
620	521	318
621	522	317
622	522	316
623	523	315
624	524	314
625	524	313
626	525	312
627	525	311
628	526	310
629	527	309
630	527	308
631	528	307
632	529	306
633	529	305
634	530	304
635	531	304
636	532	303
637	532	302
638	533	301
639	533	300
640	534	299
641	534	298
642	535	297
643	535	296
644	536	295
645	537	294
646	537	293
647	538	292
648	538	291
649	539	290
650	540	289
651	540	288
652	541	287
653	542	286
654	542	285
655	543	284
656	543	283
657	544	283
658	545	282
659	546	281
660	547	280
661	548	279
662	548	278
663	549	278
664	550	277
665	551	276
666	551	275
667	552	274
668	553	273
669	553	272
670	554	271
671	555	271
672	556	270
673	557	269
674	558	268
675	560	268
676	562	268
677	563	267
678	564	266
679	564	265
680	565	264
681	565	263
682	566	262
683	567	262
684	567	261
685	568	260
686	569	259
687	569	258
688	570	257
689	571	256
690	571	255
691	572	254
692	572	253
693	574	253
694	574	252
695	575	251
696	576	250
697	577	249
698	578	248
699	578	248
700	579	247
701	580	246
702	580	245
703	581	244
704	582	243
705	582	242
706	583	241
707	584	241
708	585	240
709	586	239
710	586	238
711	587	237
712	588	236
713	589	236
714	590	235
715	591	234
716	592	233
717	593	232
718	594	232
719	594	231
720	595	230
721	596	229
722	596	228
723	597	227
724	598	226
725	599	226
726	599	225
727	600	224
728	601	223
729	601	222
730	602	221
731	605	221
732	606	220
733	607	220
734	607	219
735	608	218
736	608	217
737	609	216
738	610	215
739	610	214
740	611	213
741	612	212
742	613	212
743	614	211
744	615	210
745	616	209
746	617	209
747	620	209
748	621	208
749	622	207
750	622	206
751	623	205
752	624	204
753	624	203
754	626	203
755	627	202
756	627	201
757	628	200
758	629	199
759	630	199
760	631	198
761	631	197
762	633	196
763	634	196
764	635	195
765	635	194
766	636	193
767	637	192
768	637	191
769	638	190
770	639	189
771	640	189
772	640	188
773	641	187
774	642	186
775	642	185
776	643	184
777	644	183
778	645	183
779	649	183
780	650	182
781	651	181
782	652	180
783	653	180
784	654	179
785	655	178
786	656	177
787	656	176
788	657	175
789	658	175
790	659	174
791	661	173
792	662	173
793	663	172
794	664	171
795	664	170
796	665	169
797	666	168
798	666	167
799	667	166
800	668	166
801	668	165
802	669	164
803	670	163
804	671	162
805	671	161
806	672	160
807	673	159
808	674	159
809	676	158
810	677	157
811	677	156
812	678	156
813	679	155
814	680	154
815	680	153
816	681	152
817	682	151
818	682	150
819	683	150
820	684	149
821	685	148
822	685	147
823	686	146
824	687	145
825	687	144
826	688	144
827	690	143
828	691	142
829	691	141
830	692	140
831	693	139
832	693	139
833	694	138
834	695	137
835	695	136
836	696	135
837	697	134
838	698	133
839	698	133
840	699	132
841	700	131
842	700	130
843	701	129
844	701	128
845	702	127
846	703	127
847	704	126
848	704	125
849	705	124
850	706	123
851	707	122
852	707	121
853	708	121
854	709	120
855	709	119
856	710	118
857	711	117
858	711	116
859	712	115
860	713	115
861	713	114
862	714	113
863	715	112
864	716	111
865	716	110
866	717	110
867	718	109
868	719	108
869	720	107
870	721	106
871	722	106
872	723	105
873	723	104
874	724	103
875	725	102
876	725	101
877	726	100
